Description,Label
"Les loyers augmentent rapidement dans les grandes villes rendant le logement inabordable pour beaucoup.",8
"Les bâtiments dans les zones résidentielles n'ont pas été inspectés depuis des années ce qui les rend dangereux.",8
"Les affaires de droits de l'homme sont souvent ignorées par le système judiciaire.",9
"Les victimes de violences n'ont pas accès à une aide juridique suffisante pour défendre leurs droits.",9
"Les élus locaux sont accusés de manipuler les résultats des élections pour conserver le pouvoir.",10
"Les fonds destinés à la construction de nouvelles infrastructures sont détournés par les responsables locaux.",10
"Les maternités manquent de lits et les femmes doivent souvent partager les chambres avec plusieurs autres patients.",1
"Les soins post-opératoires dans les hôpitaux sont négligés à cause du manque de personnel.",1
"Les écoles rurales manquent de fournitures de base comme des livres et du matériel pédagogique.",2
"Les salles de classe sont trop petites pour accueillir tous les élèves dans de bonnes conditions.",2
"Les citoyens sont inquiets de la montée de la violence dans les quartiers mal desservis par les forces de l'ordre.",3
"Les rondes de nuit sont insuffisantes laissant les zones résidentielles sans protection contre les crimes.",3
"Les routes secondaires sont complètement dégradées et deviennent impraticables lors des intempéries.",4
"Les bâtiments publics sont souvent fermés pour des réparations non programmées perturbant les services.",4
"Les citoyens dénoncent le manque de transparence dans les processus de délivrance des documents administratifs.",5
"Les services publics en ligne sont inaccessibles pour les habitants des zones rurales créant des inégalités.",5
"Les décharges sauvages se multiplient aux abords des villes créant des problèmes sanitaires.",6
"Les zones côtières sont menacées par des projets industriels affectant la faune marine.",6
"Les jeunes diplômés se retrouvent sans emploi même après plusieurs mois de recherche.",7
"Les contrats précaires sont la norme créant de l'instabilité pour les travailleurs.",7
"Les familles nombreuses sont contraintes de vivre dans des logements inadaptés et trop petits.",8
"Les propriétaires refusent de faire les réparations nécessaires malgré les plaintes répétées des locataires.",8
"Les citoyens dénoncent la lenteur excessive des procédures judiciaires retardant l'accès à la justice.",9
"Les droits des travailleurs ne sont pas respectés et les plaintes liées aux violations des droits de l'homme sont ignorées.",9
"Les élections locales sont marquées par des irrégularités et des accusations de corruption.",10
"Les responsables gouvernementaux détournent des fonds alloués à des projets de développement local.",10
"Le robinet ne fournit pas d'eau potable depuis plusieurs jours.",5
"Les coupures d'eau sont fréquentes rendant la vie quotidienne difficile.",5
"Les réservoirs d'eau sont souvent vides et il n'y a pas de solution rapide.",5
"Il y a une forte odeur d'eau qui coule dans les canalisations.",5
"Le service d'approvisionnement en eau n'est pas régulier créant des pénuries.",5
"Les habitants se plaignent de l'absence d'installations sanitaires dans certaines zones.",5
"Les factures d'eau sont inexplicablement élevées sans explication des autorités.",5
"Les pannes d'électricité sont fréquentes perturbant les activités quotidiennes.",5
"Les coupures de courant la nuit sont devenues une routine rendant le sommeil difficile.",5
"Les habitants signalent des fluctuations de tension qui endommagent leurs appareils électroménagers.",5
"Les lampadaires dans le quartier ne fonctionnent pas rendant les rues dangereuses la nuit.",5
"Les réseaux électriques sont obsolètes et souvent sujets à des pannes.",5
"Les factures d'électricité sont élevées mais le service est irrégulier.",5
"Les voisins se plaignent de la lenteur du service pour rétablir l'électricité après une panne.",5
"Les coupures d'électricité sans préavis sont source de stress pour les familles.",5
"Les tuyaux dans le quartier sont anciens et fuient fréquemment causant des pertes d'eau.",5
"Les habitants n'ont pas accès à de l'eau potable pendant plusieurs jours consécutifs.",5
"Le traitement de l'eau n'est pas conforme aux normes de santé publique entraînant des maladies.",5
"Les branchements d'eau sont souvent mal entretenus entraînant des inondations dans les rues.",5
"Les horaires de distribution d'eau ne sont pas respectés et la population ne sait pas quand s'attendre à l'eau.",5
"Les coupures d'eau prolongées pendant les périodes de chaleur sont inacceptables.",5
"Le système électrique dans les maisons est obsolète et des incendies sont signalés.",5
"Les coupures d'électricité pendant les heures de pointe causent des désagréments aux entreprises.",5
"Les résidents signalent que les panneaux électriques de leur quartier sont mal entretenus.",5
"Le service d'urgence pour les pannes d'électricité met trop de temps à répondre.",5
"Les câbles électriques dans les rues sont exposés et présentent un danger pour les enfants.",5
"Les résidents doivent faire la queue pour obtenir de l'eau des points de distribution ce qui prend du temps.",5
"Les fuites d'eau dans les rues créent des trous et des dégradations sur les routes.",5
"Le manque d'information sur les coupures d'eau rend les gens frustrés.",5
"Les factures d'électricité contiennent des erreurs ce qui complique le paiement pour les résidents.",5
